0,0.5115,0.5192, 0.51612
1,0.5563,0.5624, 0.56068
2,0.5523,0.5538, 0.55588
3,0.54135,0.5456, 0.55072
4,0.55605,0.5632, 0.56204
5,0.50185,0.5032, 0.50276
6,0.5165,0.5184, 0.5198
7,0.65175,0.654, 0.66056
8,0.52175,0.5212, 0.52488
9,0.67705,0.682, 0.6808
10,0.65945,0.6618, 0.66472
11,0.6585,0.6658, 0.6574
12,0.71435,0.7158, 0.70772
13,0.51415,0.5132, 0.5154
14,0.59365,0.5908, 0.58332
15,0.51815,0.5194, 0.51976
16,0.67785,0.6736, 0.66516
17,0.6256,0.6148, 0.6114
18,0.59245,0.5792, 0.5788
19,0.5321,0.5322, 0.53496
20,0.5742,0.5712, 0.57808
21,0.5248,0.5224, 0.52148
22,0.689,0.6948, 0.68644
23,0.7411,0.7398, 0.73108
24,0.74505,0.7412, 0.72808
25,0.75475,0.7558, 0.74308
26,0.7257,0.7198, 0.7262
27,0.69315,0.6954, 0.7018
28,0.729,0.7412, 0.73264
29,0.64795,0.6392, 0.63364
30,0.73375,0.7468, 0.73416
31,0.7318,0.7206, 0.70928
32,0.7234,0.7224, 0.71796
33,0.72225,0.7218, 0.71908
34,0.7249,0.718, 0.70688
35,0.7079,0.7048, 0.69424
36,0.76835,0.7602, 0.75716
37,0.57065,0.559, 0.55644
38,0.77375,0.7748, 0.76212
39,0.7426,0.7576, 0.73968
40,0.6456,0.6222, 0.62284
41,0.76965,0.7652, 0.7536
42,0.63485,0.6214, 0.6282
43,0.69585,0.683, 0.68052
44,0.78525,0.7806, 0.77016
45,0.7539,0.7586, 0.754
46,0.67555,0.6618, 0.65804
47,0.70525,0.6952, 0.6924
48,0.6951,0.683, 0.67268
49,0.69825,0.6842, 0.67784
50,0.6332,0.644, 0.64
51,0.6849,0.6962, 0.69192
52,0.76955,0.7722, 0.76388
53,0.7858,0.7876, 0.77704
54,0.57465,0.5854, 0.58088
55,0.64075,0.659, 0.64872
56,0.6695,0.6878, 0.67804
57,0.7637,0.7716, 0.76624
58,0.6081,0.6058, 0.61224
59,0.7457,0.7458, 0.74284
60,0.55015,0.5442, 0.53836
61,0.6044,0.6084, 0.61008
62,0.63525,0.6184, 0.61276
63,0.7951,0.7828, 0.78168
64,0.7975,0.789, 0.77972
65,0.7804,0.7838, 0.77756
66,0.7119,0.7158, 0.71608
67,0.7917,0.779, 0.77108
68,0.76025,0.7462, 0.73692
69,0.7069,0.7106, 0.70584
70,0.7184,0.7254, 0.71928
71,0.7956,0.7898, 0.7792
72,0.7739,0.7756, 0.76872
73,0.74205,0.7332, 0.7172
74,0.80015,0.7954, 0.78684
75,0.77705,0.7696, 0.75384
76,0.7498,0.7524, 0.7492
77,0.77065,0.771, 0.76232
78,0.66465,0.6746, 0.67008
79,0.7775,0.7704, 0.76956
80,0.7571,0.7614, 0.75844
81,0.5421,0.543, 0.54508
82,0.78685,0.7858, 0.77584
83,0.80915,0.799, 0.78896
84,0.79165,0.794, 0.78384
85,0.81125,0.806, 0.7958
86,0.7824,0.7864, 0.77776
87,0.7121,0.716, 0.7166
88,0.8191,0.8144, 0.79992
89,0.75525,0.7566, 0.7492
